c1,avg(weight.weight)
{name:Stannis},14.666666666666666
{name:Jon},18.904761904761905
{name:Robert},4.4
{name:Janos},6.0
{name:Eddard},8.999999999999998
{name:Robb},12.434782608695654
{name:Sansa},15.391304347826086
{name:Tyrion},11.0
{name:Jaime},15.6
{name:Tywin},9.473684210526315
{name:Daenerys},16.57142857142857
{name:Jorah},9.25
{name:Sandor},7.333333333333333
{name:Arya},13.375000000000002
{name:Catelyn},10.529411764705882
{name:Cersei},12.5
{name:Roose},4.0
{name:Rickard},4.0
{name:Edmure},9.0
{name:Lysa},9.571428571428571
{name:Gilly},17.0
{name:Samwell},19.0
{name:Mance},9.0
{name:Melisandre},17.5
{name:Shireen},5.0
{name:Hoster},9.0
{name:Beric},9.666666666666668
{name:Joffrey},12.750000000000002
{name:Bronn},12.0
{name:Bran},31.444444444444443
{name:Daario},4.5
{name:Missandei},4.0
{name:Walton},10.0
{name:Aerys},9.25
{name:Hodor},38.0
{name:Rhaegar},5.75
{name:Renly},6.333333333333333
{name:Brienne},7.0
{name:Balon},4.0
{name:Walder},8.0
{name:Brynden},4.5
{name:Jon Arryn},5.5
{name:Alliser},5.0
{name:Jojen},22.0
{name:Gregor},11.8
{name:Amory},5.0
{name:Ygritte},8.0
{name:Viserys},5.5
{name:Meera},7.0
{name:Aemon},18.0
{name:Myrcella},4.5
{name:Kevan},6.0
{name:Shae},6.0
{name:Eddison},8.0
{name:Gendry},7.0
{name:Belwas},14.0
{name:Luwin},4.0
{name:Rickon},8.0
{name:Lothar},4.0
{name:Meryn},5.0
{name:Varys},4.0
{name:Craster},6.0
{name:Irri},7.0
{name:Davos},10.0
{name:Tommen},5.0
{name:Loras},7.0
{name:Podrick},4.0
{name:Val},7.0
{name:Rattleshirt},6.0
{name:Robert Arryn},4.0
{name:Oberyn},6.0
